Period,Timestamp,load,predicted,Delta (kW),Absolute Error (kW),Squared Error,Error (%)
Apr-25,2025-04-01T00:00:00,0.3,0.307,0.007,0.007,0.000049,2.33%
Apr-25,2025-04-01T00:15:00,0.28,0.298,0.018,0.018,0.000324,6.27%
Apr-25,2025-04-01T00:30:00,0.3,0.301,0.001,0.001,0.000001,0.34%
Apr-25,2025-04-01T00:45:00,0.3,0.306,0.006,0.006,0.000036,1.86%
Apr-25,2025-04-01T01:00:00,0.31,0.305,-0.005,0.005,0.000025,1.54%
Apr-25,2025-04-01T01:15:00,0.31,0.305,-0.005,0.005,0.000025,1.77%
Apr-25,2025-04-01T01:30:00,0.3,0.3,0,0,0,0.05%
Apr-25,2025-04-01T01:45:00,0.29,0.293,0.003,0.003,0.000009,0.97%
Apr-25,2025-04-01T02:00:00,0.27,0.268,-0.002,0.002,0.000004,0.76%
Apr-25,2025-04-01T02:15:00,0.27,0.27,0,0,0,0.10%
Apr-25,2025-04-01T02:30:00,0.3,0.295,-0.005,0.005,0.000025,1.70%
Apr-25,2025-04-01T02:45:00,0.28,0.288,0.008,0.008,0.000064,2.68%
Apr-25,2025-04-01T03:00:00,0.31,0.305,-0.005,0.005,0.000025,1.55%
Apr-25,2025-04-01T03:15:00,0.31,0.304,-0.006,0.006,0.000036,1.88%
Apr-25,2025-04-01T03:30:00,0.31,0.305,-0.005,0.005,0.000025,1.72%
Apr-25,2025-04-01T03:45:00,0.31,0.303,-0.007,0.007,0.000049,2.24%
Apr-25,2025-04-01T04:00:00,0.3,0.298,-0.002,0.002,0.000004,0.58%
Apr-25,2025-04-01T04:15:00,0.32,0.31,-0.01,0.01,0.0001,3.01%
Apr-25,2025-04-01T04:30:00,1.85,1.695,-0.155,0.155,0.024025,8.37%
Apr-25,2025-04-01T04:45:00,2.08,2.138,0.058,0.058,0.003364,2.79%
Apr-25,2025-04-01T05:00:00,1.58,1.584,0.004,0.004,0.000016,0.25%
Apr-25,2025-04-01T05:15:00,0.31,0.314,0.004,0.004,0.000016,1.36%
Apr-25,2025-04-01T05:30:00,0.32,0.327,0.007,0.007,0.000049,2.31%
Apr-25,2025-04-01T05:45:00,0.31,0.321,0.011,0.011,0.000121,3.62%
Apr-25,2025-04-01T06:00:00,0.29,0.307,0.017,0.017,0.000289,5.86%
Apr-25,2025-04-01T06:15:00,0.29,0.286,-0.004,0.004,0.000016,1.25%
Apr-25,2025-04-01T06:30:00,0.27,0.275,0.005,0.005,0.000025,1.88%
Apr-25,2025-04-01T06:45:00,0.27,0.272,0.002,0.002,0.000004,0.66%
Apr-25,2025-04-01T07:00:00,0.3,0.306,0.006,0.006,0.000036,2.12%
Apr-25,2025-04-01T07:15:00,0.91,1.034,0.124,0.124,0.015376,13.67%
Apr-25,2025-04-01T07:30:00,0.53,0.465,-0.065,0.065,0.004225,12.34%
Apr-25,2025-04-01T07:45:00,1.26,1.015,-0.245,0.245,0.060025,19.44%
Apr-25,2025-04-01T08:00:00,0.54,0.474,-0.066,0.066,0.004356,12.21%
Apr-25,2025-04-01T08:15:00,0.55,0.428,-0.122,0.122,0.014884,22.11%
Apr-25,2025-04-01T08:30:00,1.43,1.1,-0.33,0.33,0.1089,23.08%
Apr-25,2025-04-01T08:45:00,0.33,0.562,0.232,0.232,0.053824,70.32%
Apr-25,2025-04-01T09:00:00,0.92,0.754,-0.166,0.166,0.027556,18.02%
Apr-25,2025-04-01T09:15:00,1.55,1.051,-0.499,0.499,0.249001,32.19%
Apr-25,2025-04-01T09:30:00,1.59,1.253,-0.337,0.337,0.113569,21.19%
Apr-25,2025-04-01T09:45:00,0.65,0.629,-0.021,0.021,0.000441,3.24%
Apr-25,2025-04-01T10:00:00,0.96,0.929,-0.031,0.031,0.000961,3.19%
Apr-25,2025-04-01T10:15:00,1.18,1.214,0.034,0.034,0.001156,2.86%
Apr-25,2025-04-01T10:30:00,1.51,1.146,-0.364,0.364,0.132496,24.09%
Apr-25,2025-04-01T10:45:00,0.5,0.73,0.23,0.23,0.0529,46.10%
Apr-25,2025-04-01T11:00:00,4.13,3.433,-0.697,0.697,0.485809,16.89%
Apr-25,2025-04-01T11:15:00,4.39,4.322,-0.068,0.068,0.004624,1.56%
Apr-25,2025-04-01T11:30:00,4.71,5.206,0.496,0.496,0.246016,10.54%
Apr-25,2025-04-01T11:45:00,5.4,5.026,-0.374,0.374,0.139876,6.93%
Apr-25,2025-04-01T12:00:00,5.69,5.928,0.238,0.238,0.056644,4.18%
Apr-25,2025-04-01T12:15:00,3.26,4.396,1.136,1.136,1.290496,34.84%
Apr-25,2025-04-01T12:30:00,3.89,3.611,-0.279,0.279,0.077841,7.18%
Apr-25,2025-04-01T12:45:00,4.06,4.533,0.473,0.473,0.223729,11.64%
Apr-25,2025-04-01T13:00:00,5.51,4.272,-1.238,1.238,1.532644,22.47%
Apr-25,2025-04-01T13:15:00,5.68,5.141,-0.539,0.539,0.290521,9.48%
Apr-25,2025-04-01T13:30:00,4.87,5.028,0.158,0.158,0.024964,3.25%
Apr-25,2025-04-01T13:45:00,3.8,4.137,0.337,0.337,0.113569,8.87%
Apr-25,2025-04-01T14:00:00,4.05,3.755,-0.295,0.295,0.087025,7.29%
Apr-25,2025-04-01T14:15:00,3.77,4.12,0.35,0.35,0.1225,9.27%
Apr-25,2025-04-01T14:30:00,4.6,3.976,-0.624,0.624,0.389376,13.56%
Apr-25,2025-04-01T14:45:00,3.88,4.14,0.26,0.26,0.0676,6.71%
Apr-25,2025-04-01T15:00:00,3.31,3.411,0.101,0.101,0.010201,3.04%
Apr-25,2025-04-01T15:15:00,3.34,3.017,-0.323,0.323,0.104329,9.68%
Apr-25,2025-04-01T15:30:00,2.37,3.078,0.708,0.708,0.501264,29.87%
Apr-25,2025-04-01T15:45:00,2.8,2.579,-0.221,0.221,0.048841,7.91%
Apr-25,2025-04-01T16:00:00,2.54,2.307,-0.233,0.233,0.054289,9.19%
Apr-25,2025-04-01T16:15:00,2.43,2.178,-0.252,0.252,0.063504,10.39%
Apr-25,2025-04-01T16:30:00,2.27,2.065,-0.205,0.205,0.042025,9.04%
Apr-25,2025-04-01T16:45:00,1.59,1.793,0.203,0.203,0.041209,12.79%
Apr-25,2025-04-01T17:00:00,1.47,1.215,-0.255,0.255,0.065025,17.35%
Apr-25,2025-04-01T17:15:00,1.15,1.098,-0.052,0.052,0.002704,4.51%
Apr-25,2025-04-01T17:30:00,0.95,1.047,0.097,0.097,0.009409,10.20%
Apr-25,2025-04-01T17:45:00,0.82,0.862,0.042,0.042,0.001764,5.13%
Apr-25,2025-04-01T18:00:00,0.7,0.715,0.015,0.015,0.000225,2.21%
Apr-25,2025-04-01T18:15:00,1.87,1.529,-0.341,0.341,0.116281,18.22%
Apr-25,2025-04-01T18:30:00,0.7,0.581,-0.119,0.119,0.014161,17%
Apr-25,2025-04-01T18:45:00,0.48,0.415,-0.065,0.065,0.004225,13.49%
Apr-25,2025-04-01T19:00:00,0.43,0.509,0.079,0.079,0.006241,18.36%
Apr-25,2025-04-01T19:15:00,0.39,0.49,0.1,0.1,0.01,25.60%
Apr-25,2025-04-01T19:30:00,0.34,0.478,0.138,0.138,0.019044,40.51%
Apr-25,2025-04-01T19:45:00,0.37,0.367,-0.003,0.003,0.000009,0.72%
Apr-25,2025-04-01T20:00:00,0.3,0.332,0.032,0.032,0.001024,10.61%
Apr-25,2025-04-01T20:15:00,0.3,0.306,0.006,0.006,0.000036,2.08%
Apr-25,2025-04-01T20:30:00,0.29,0.297,0.007,0.007,0.000049,2.56%
Apr-25,2025-04-01T20:45:00,0.29,0.29,0,0,0,0.17%
Apr-25,2025-04-01T21:00:00,0.26,0.267,0.007,0.007,0.000049,2.60%
Apr-25,2025-04-01T21:15:00,0.26,0.263,0.003,0.003,0.000009,1.15%
Apr-25,2025-04-01T21:30:00,0.5,0.485,-0.015,0.015,0.000225,3.06%
Apr-25,2025-04-01T21:45:00,0.37,0.388,0.018,0.018,0.000324,4.92%
Apr-25,2025-04-01T22:00:00,0.4,0.393,-0.007,0.007,0.000049,1.86%
Apr-25,2025-04-01T22:15:00,0.4,0.379,-0.021,0.021,0.000441,5.24%
Apr-25,2025-04-01T22:30:00,0.39,0.407,0.017,0.017,0.000289,4.48%
Apr-25,2025-04-01T22:45:00,0.81,0.861,0.051,0.051,0.002601,6.24%
Apr-25,2025-04-01T23:00:00,0.42,0.443,0.023,0.023,0.000529,5.50%
Apr-25,2025-04-01T23:15:00,0.32,0.332,0.012,0.012,0.000144,3.90%
Apr-25,2025-04-01T23:30:00,0.25,0.285,0.035,0.035,0.001225,13.84%
Apr-25,2025-04-01T23:45:00,0.29,0.293,0.003,0.003,0.000009,0.95%
Apr-25,2025-04-02T00:00:00,0.3,0.298,-0.002,0.002,0.000004,0.77%
Apr-25,2025-04-02T00:15:00,0.3,0.302,0.002,0.002,0.000004,0.73%
Apr-25,2025-04-02T00:30:00,0.29,0.292,0.002,0.002,0.000004,0.57%
Apr-25,2025-04-02T00:45:00,0.28,0.273,-0.007,0.007,0.000049,2.42%
Apr-25,2025-04-02T01:00:00,0.25,0.258,0.008,0.008,0.000064,3.10%
Apr-25,2025-04-02T01:15:00,0.25,0.248,-0.002,0.002,0.000004,0.84%
Apr-25,2025-04-02T01:30:00,0.28,0.266,-0.014,0.014,0.000196,5.10%
Apr-25,2025-04-02T01:45:00,0.29,0.288,-0.002,0.002,0.000004,0.58%
Apr-25,2025-04-02T02:00:00,0.34,0.328,-0.012,0.012,0.000144,3.56%
Apr-25,2025-04-02T02:15:00,0.36,0.353,-0.007,0.007,0.000049,1.84%
Apr-25,2025-04-02T02:30:00,1,1.123,0.123,0.123,0.015129,12.30%
Apr-25,2025-04-02T02:45:00,0.31,0.299,-0.011,0.011,0.000121,3.48%
Apr-25,2025-04-02T03:00:00,0.34,0.334,-0.006,0.006,0.000036,1.76%
Apr-25,2025-04-02T03:15:00,2.4,2.316,-0.084,0.084,0.007056,3.51%
Apr-25,2025-04-02T03:30:00,0.39,0.409,0.019,0.019,0.000361,4.84%
Apr-25,2025-04-02T03:45:00,0.39,0.381,-0.009,0.009,0.000081,2.41%
Apr-25,2025-04-02T04:00:00,1.82,1.765,-0.055,0.055,0.003025,3.03%
Apr-25,2025-04-02T04:15:00,2.63,2.715,0.085,0.085,0.007225,3.23%
Apr-25,2025-04-02T04:30:00,1.84,1.815,-0.025,0.025,0.000625,1.39%
Apr-25,2025-04-02T04:45:00,1.88,1.872,-0.008,0.008,0.000064,0.45%
Apr-25,2025-04-02T05:00:00,1.91,1.839,-0.071,0.071,0.005041,3.71%
Apr-25,2025-04-02T05:15:00,2.17,2.076,-0.094,0.094,0.008836,4.34%
Apr-25,2025-04-02T05:30:00,1.67,1.681,0.011,0.011,0.000121,0.66%
Apr-25,2025-04-02T05:45:00,0.33,0.352,0.022,0.022,0.000484,6.71%
Apr-25,2025-04-02T06:00:00,0.35,0.363,0.013,0.013,0.000169,3.81%
Apr-25,2025-04-02T06:15:00,0.35,0.345,-0.005,0.005,0.000025,1.30%
Apr-25,2025-04-02T06:30:00,0.38,0.356,-0.024,0.024,0.000576,6.22%
Apr-25,2025-04-02T06:45:00,0.29,0.334,0.044,0.044,0.001936,15.02%
Apr-25,2025-04-02T07:00:00,0.27,0.292,0.022,0.022,0.000484,8.10%
Apr-25,2025-04-02T07:15:00,0.25,0.272,0.022,0.022,0.000484,8.72%
Apr-25,2025-04-02T07:30:00,0.29,0.276,-0.014,0.014,0.000196,4.75%
Apr-25,2025-04-02T07:45:00,0.25,0.273,0.023,0.023,0.000529,9.30%
Apr-25,2025-04-02T08:00:00,0.25,0.278,0.028,0.028,0.000784,11.26%
Apr-25,2025-04-02T08:15:00,0.25,0.269,0.019,0.019,0.000361,7.78%
Apr-25,2025-04-02T08:30:00,0.24,0.266,0.026,0.026,0.000676,10.86%
Apr-25,2025-04-02T08:45:00,0.22,0.304,0.084,0.084,0.007056,38.25%
Apr-25,2025-04-02T09:00:00,0.21,0.274,0.064,0.064,0.004096,30.38%
Apr-25,2025-04-02T09:15:00,0.2,0.298,0.098,0.098,0.009604,48.88%
Apr-25,2025-04-02T09:30:00,0.25,0.322,0.072,0.072,0.005184,28.68%
Apr-25,2025-04-02T09:45:00,0.62,0.721,0.101,0.101,0.010201,16.36%
Apr-25,2025-04-02T10:00:00,0.62,0.617,-0.003,0.003,0.000009,0.45%
Apr-25,2025-04-02T10:15:00,0.59,0.673,0.083,0.083,0.006889,13.99%
Apr-25,2025-04-02T10:30:00,0.62,0.396,-0.224,0.224,0.050176,36.10%
Apr-25,2025-04-02T10:45:00,0.65,0.855,0.205,0.205,0.042025,31.56%
Apr-25,2025-04-02T11:00:00,1.76,1.193,-0.567,0.567,0.321489,32.20%
Apr-25,2025-04-02T11:15:00,0.48,1.463,0.983,0.983,0.966289,204.84%
Apr-25,2025-04-02T11:30:00,1.12,1.303,0.183,0.183,0.033489,16.32%
Apr-25,2025-04-02T11:45:00,3.41,2.171,-1.239,1.239,1.535121,36.33%
Apr-25,2025-04-02T12:00:00,5.99,4.329,-1.661,1.661,2.758921,27.72%
Apr-25,2025-04-02T12:15:00,6,5.149,-0.851,0.851,0.724201,14.19%
Apr-25,2025-04-02T12:30:00,6,5.743,-0.257,0.257,0.066049,4.29%
Apr-25,2025-04-02T12:45:00,6,5.399,-0.601,0.601,0.361201,10.01%
Apr-25,2025-04-02T13:00:00,5.98,5.267,-0.713,0.713,0.508369,11.93%
Apr-25,2025-04-02T13:15:00,6.01,5.15,-0.86,0.86,0.7396,14.31%
Apr-25,2025-04-02T13:30:00,3.29,3.889,0.599,0.599,0.358801,18.20%
Apr-25,2025-04-02T13:45:00,2.08,2.737,0.657,0.657,0.431649,31.59%
Apr-25,2025-04-02T14:00:00,3.37,3.191,-0.179,0.179,0.032041,5.31%
Apr-25,2025-04-02T14:15:00,3.11,2.954,-0.156,0.156,0.024336,5.01%
Apr-25,2025-04-02T14:30:00,1.55,2.562,1.012,1.012,1.024144,65.31%
Apr-25,2025-04-02T14:45:00,0.8,1.302,0.502,0.502,0.252004,62.77%
Apr-25,2025-04-02T15:00:00,3.48,2.179,-1.301,1.301,1.692601,37.38%
Apr-25,2025-04-02T15:15:00,3.95,3.356,-0.594,0.594,0.352836,15.03%
Apr-25,2025-04-02T15:30:00,4.06,3.374,-0.686,0.686,0.470596,16.89%
Apr-25,2025-04-02T15:45:00,3.03,3.272,0.242,0.242,0.058564,7.98%
Apr-25,2025-04-02T16:00:00,2.51,2.47,-0.04,0.04,0.0016,1.61%
Apr-25,2025-04-02T16:15:00,2.22,2.22,0,0,0,0.01%
Apr-25,2025-04-02T16:30:00,2.52,1.964,-0.556,0.556,0.309136,22.06%
Apr-25,2025-04-02T16:45:00,2.06,1.969,-0.091,0.091,0.008281,4.42%
Apr-25,2025-04-02T17:00:00,1.34,1.366,0.026,0.026,0.000676,1.96%
Apr-25,2025-04-02T17:15:00,0.66,0.963,0.303,0.303,0.091809,45.94%
Apr-25,2025-04-02T17:30:00,0.45,0.626,0.176,0.176,0.030976,39.14%
Apr-25,2025-04-02T17:45:00,0.4,0.53,0.13,0.13,0.0169,32.47%
Apr-25,2025-04-02T18:00:00,0.34,0.471,0.131,0.131,0.017161,38.39%
Apr-25,2025-04-02T18:15:00,0.32,0.432,0.112,0.112,0.012544,35.06%
Apr-25,2025-04-02T18:30:00,0.44,0.387,-0.053,0.053,0.002809,12.05%
Apr-25,2025-04-02T18:45:00,1.21,1.236,0.026,0.026,0.000676,2.12%
Apr-25,2025-04-02T19:00:00,0.48,0.522,0.042,0.042,0.001764,8.83%
Apr-25,2025-04-02T19:15:00,0.38,0.464,0.084,0.084,0.007056,22.18%
Apr-25,2025-04-02T19:30:00,0.32,0.419,0.099,0.099,0.009801,30.84%
Apr-25,2025-04-02T19:45:00,1.1,1.161,0.061,0.061,0.003721,5.53%
Apr-25,2025-04-02T20:00:00,2.64,2.721,0.081,0.081,0.006561,3.07%
Apr-25,2025-04-02T20:15:00,0.45,0.425,-0.025,0.025,0.000625,5.66%
Apr-25,2025-04-02T20:30:00,0.45,0.417,-0.033,0.033,0.001089,7.26%
Apr-25,2025-04-02T20:45:00,0.47,0.45,-0.02,0.02,0.0004,4.33%
Apr-25,2025-04-02T21:00:00,0.61,0.581,-0.029,0.029,0.000841,4.72%
Apr-25,2025-04-02T21:15:00,0.43,0.457,0.027,0.027,0.000729,6.25%
Apr-25,2025-04-02T21:30:00,0.41,0.405,-0.005,0.005,0.000025,1.28%
Apr-25,2025-04-02T21:45:00,0.4,0.39,-0.01,0.01,0.0001,2.48%
Apr-25,2025-04-02T22:00:00,0.34,0.334,-0.006,0.006,0.000036,1.78%
Apr-25,2025-04-02T22:15:00,0.39,0.41,0.02,0.02,0.0004,5.08%
Apr-25,2025-04-02T22:30:00,0.58,0.569,-0.011,0.011,0.000121,1.95%
Apr-25,2025-04-02T22:45:00,0.39,0.417,0.027,0.027,0.000729,6.99%
Apr-25,2025-04-02T23:00:00,0.31,0.324,0.014,0.014,0.000196,4.40%
Apr-25,2025-04-02T23:15:00,0.3,0.311,0.011,0.011,0.000121,3.71%
Apr-25,2025-04-02T23:30:00,0.28,0.295,0.015,0.015,0.000225,5.42%
Apr-25,2025-04-02T23:45:00,0.27,0.274,0.004,0.004,0.000016,1.45%
Apr-25,2025-04-03T00:00:00,0.28,0.277,-0.003,0.003,0.000009,1.14%
Apr-25,2025-04-03T00:15:00,0.3,0.297,-0.003,0.003,0.000009,0.94%
Apr-25,2025-04-03T00:30:00,0.28,0.288,0.008,0.008,0.000064,3.02%
Apr-25,2025-04-03T00:45:00,0.31,0.303,-0.007,0.007,0.000049,2.22%
Apr-25,2025-04-03T01:00:00,0.31,0.305,-0.005,0.005,0.000025,1.48%
Apr-25,2025-04-03T01:15:00,0.3,0.301,0.001,0.001,0.000001,0.19%
Apr-25,2025-04-03T01:30:00,0.3,0.301,0.001,0.001,0.000001,0.23%
Apr-25,2025-04-03T01:45:00,0.3,0.294,-0.006,0.006,0.000036,1.94%
Apr-25,2025-04-03T02:00:00,0.29,0.294,0.004,0.004,0.000016,1.24%
Apr-25,2025-04-03T02:15:00,0.31,0.308,-0.002,0.002,0.000004,0.65%
Apr-25,2025-04-03T02:30:00,0.31,0.302,-0.008,0.008,0.000064,2.58%
Apr-25,2025-04-03T02:45:00,1.69,1.652,-0.038,0.038,0.001444,2.27%
Apr-25,2025-04-03T03:00:00,0.34,0.332,-0.008,0.008,0.000064,2.27%
Apr-25,2025-04-03T03:15:00,0.99,0.906,-0.084,0.084,0.007056,8.43%
Apr-25,2025-04-03T03:30:00,0.32,0.327,0.007,0.007,0.000049,2.06%
Apr-25,2025-04-03T03:45:00,0.31,0.324,0.014,0.014,0.000196,4.41%
Apr-25,2025-04-03T04:00:00,0.29,0.313,0.023,0.023,0.000529,7.97%
Apr-25,2025-04-03T04:15:00,0.57,0.543,-0.027,0.027,0.000729,4.79%
Apr-25,2025-04-03T04:30:00,1.99,2.018,0.028,0.028,0.000784,1.43%
